0,-865,865,4000,3207,4793
24,-877,853,4033,3207,4793
49,-888,839,4067,3209,4791
73,-899,826,4100,3210,4790
98,-910,812,4134,3211,4789
122,-920,798,4167,3213,4787
146,-929,783,4200,3216,4784
170,-938,768,4233,3218,4782
195,-945,750,4268,3223,4777
219,-953,734,4301,3227,4773
242,-961,719,4332,3230,4770
266,-966,700,4365,3237,4763
290,-972,682,4398,3242,4758
313,-977,664,4430,3248,4752
336,-982,646,4462,3254,4746
359,-986,627,4493,3261,4739
382,-990,608,4525,3268,4732
405,-993,588,4557,3276,4724
427,-994,567,4587,3285,4715
449,-997,548,4617,3292,4708
471,-997,526,4647,3302,4698
492,-999,507,4676,3310,4690
514,-999,485,4693,3307,4667
535,-997,462,4702,3298,4635
555,-996,441,4711,3289,4606
575,-994,419,4719,3281,4576
595,-992,397,4727,3273,4546
615,-989,374,4735,3265,4514
634,-986,352,4742,3258,4484
653,-981,328,4749,3251,4451
671,-975,304,4754,3246,4418
689,-970,281,4760,3240,4386
707,-965,258,4766,3234,4354
724,-958,234,4771,3229,4321
740,-951,211,4775,3225,4290
757,-943,186,4779,3221,4255
773,-935,162,4783,3217,4222
788,-926,138,4785,3215,4189
803,-916,113,4788,3212,4155
817,-905,88,4789,3211,4121
831,-895,64,4791,3209,4088
844,-885,41,4792,3208,4056
857,-873,16,4793,3207,4022
870,-861,-9,4793,3207,3988
881,-847,-34,4792,3208,3954
893,-834,-59,4791,3209,3919
903,-820,-83,4790,3210,3886
914,-807,-107,4789,3211,3853
923,-791,-132,4785,3215,3819
932,-776,-156,4783,3217,3786
941,-760,-181,4779,3221,3752
949,-745,-204,4776,3224,3720
956,-729,-227,4772,3228,3688
963,-711,-252,4767,3233,3654
970,-694,-276,4762,3238,3621
975,-676,-299,4756,3244,3589
980,-658,-322,4751,3249,3558
985,-639,-346,4744,3256,3525
989,-620,-369,4737,3263,3493
992,-601,-391,4730,3270,3463
995,-581,-414,4722,3278,3431
997,-561,-436,4714,3286,3401
998,-541,-457,4705,3295,3372
999,-519,-480,4696,3304,3340
999,-499,-500,4687,3314,3313
999,-479,-520,4696,3342,3304
998,-457,-541,4705,3372,3295
997,-435,-562,4714,3402,3286
995,-413,-582,4723,3432,3277
992,-391,-601,4730,3463,3270
989,-368,-621,4738,3494,3262
985,-345,-640,4745,3526,3255
980,-322,-658,4751,3558,3249
975,-298,-677,4757,3591,3243
970,-276,-694,4762,3621,3238
963,-251,-712,4767,3655,3233
956,-227,-729,4772,3688,3228
949,-203,-746,4777,3721,3223
941,-180,-761,4780,3753,3220
932,-156,-776,4783,3786,3217
923,-131,-792,4786,3820,3214
914,-107,-807,4789,3853,3211
903,-82,-821,4790,3888,3210
893,-58,-835,4792,3921,3208
881,-33,-848,4792,3955,3208
870,-9,-861,4793,3988,3207
857,17,-874,4793,4023,3207
844,41,-885,4792,4056,3208
831,65,-896,4791,4089,3209
817,89,-906,4790,4122,3210
803,114,-917,4788,4156,3212
788,138,-926,4785,4189,3215
773,163,-936,4783,4224,3217
757,187,-944,4779,4257,3221
740,211,-951,4775,4290,3225
724,234,-958,4771,4321,3229
707,259,-966,4767,4356,3233
689,282,-971,4761,4387,3239
671,305,-976,4755,4419,3245
653,329,-982,4749,4452,3251
634,352,-986,4742,4484,3258
615,375,-990,4735,4515,3265
595,398,-993,4728,4547,3272
575,420,-995,4719,4577,3281
555,442,-997,4711,4607,3289
535,463,-998,4702,4636,3298
514,485,-999,4693,4667,3307
492,507,-999,4676,4690,3310
471,527,-998,4647,4699,3301
449,549,-998,4617,4709,3291
427,568,-995,4587,4716,3284
405,589,-994,4557,4725,3275
382,608,-990,4525,4732,3268
359,628,-987,4493,4740,3260
336,646,-982,4462,4746,3254
313,665,-978,4430,4753,3247
290,682,-972,4398,4758,3242
266,700,-966,4365,4763,3237
242,719,-961,4332,4770,3230
219,735,-954,4301,4774,3226
195,751,-946,4268,4778,3222
170,768,-938,4233,4782,3218
146,783,-929,4200,4784,3216
122,798,-920,4167,4787,3213
98,812,-910,4134,4789,3211
73,827,-900,4100,4791,3209
49,840,-889,4067,4792,3208
24,853,-877,4033,4793,3207
0,865,-865,4000,4793,3207
-24,877,-853,3967,4793,3207
-49,888,-839,3933,4791,3209
-73,899,-826,3900,4790,3210
-98,910,-812,3866,4789,3211
-122,920,-798,3833,4787,3213
-146,929,-783,3800,4784,3216
